2023-11-25 15:27:27.599876 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:29.840744 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:32.033210 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:34.721284 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:37.396551 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:39.582165 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:41.782665 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:44.328411 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:46.507378 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:49.246979 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:51.420456 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:53.655820 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:27:55.668440 {}
2023-11-25 15:27:57.678273 {}
2023-11-25 15:27:59.691090 {}
2023-11-25 15:28:01.886400 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:28:04.090085 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:28:06.293571 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:28:08.503504 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:28:11.332657 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:28:13.529849 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:28:15.569834 {}
2023-11-25 15:28:17.801346 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:28:19.999766 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:28:22.230148 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
2023-11-25 15:28:24.441165 {'On The Cards': 6.0, 'Timely Artist': 81.0, 'Mashaaer': 1.28, 'Electric Avenue': 9.0, 'Moda Minx': 19.0, 'Peruvian Sunset': 81.0}
